project_id,customer,region,eq_type,eq_generation,eq_config,eq_code,area_sqm,delivery_type,lead_days,mfg_start,fob_date,assigned_zone,status,priority
PJT-2025-028,키옥시아,아시아,고온,중소형,1SYS,HT-M-1S,8.0,표준납기,72,2025-01-04,2025-03-17,OUTSOURCE,확정,Medium
PJT-2025-031,TSMC,국내,저온,중소형,1SYS,LT-M-1S,6.16,표준납기,70,2025-01-15,2025-03-26,F1-B,확정,High
PJT-2025-010,TSMC,아시아,RC,대형,PRM_Ch,RC-L-PC,31.5,단납기,56,2025-01-17,2025-03-14,F1-A,확정,High
PJT-2025-008,SK하이닉스,미주,고온,중소형,PRM_Ch,HT-M-PC,13.44,단납기,53,2025-01-19,2025-03-13,F2,확정,High
PJT-2025-027,키옥시아,아시아,저온,중소형,1SYS,LT-M-1S,6.16,표준납기,70,2025-01-20,2025-03-31,F1-B,확정,High
PJT-2025-016,LG디스플레이,아시아,RC,대형,1SYS,RC-L-1S,22.0,표준납기,85,2025-01-28,2025-04-23,F2,확정,High
PJT-2025-026,SK하이닉스,미주,저온,대형,1SYS,LT-L-1S,12.6,단납기,56,2025-01-28,2025-03-25,F1-A,확정,Medium
PJT-2025-013,마이크론,유럽,RC,중소형,1SYS,RC-M-1S,11.4,표준납기,75,2025-02-10,2025-04-26,F2,예정,Medium
PJT-2025-006,삼성전자,유럽,RC,중소형,1SYS,RC-M-1S,11.4,표준납기,75,2025-02-19,2025-05-05,F2,확정,High
PJT-2025-020,키옥시아,유럽,고온,중소형,1SYS,HT-M-1S,8.0,표준납기,72,2025-02-24,2025-05-07,OUTSOURCE,확정,Medium
PJT-2025-002,TSMC,국내,고온,대형,1SYS,HT-L-1S,16.8,표준납기,80,2025-02-25,2025-05-16,F1-A,확정,Low
PJT-2025-033,TSMC,국내,고온,중소형,1SYS,HT-M-1S,8.0,표준납기,72,2025-03-02,2025-05-13,F1-B,확정,Low
PJT-2025-014,키옥시아,아시아,고온,중소형,1SYS,HT-M-1S,8.0,표준납기,72,2025-03-06,2025-05-17,OUTSOURCE,확정,Low
PJT-2025-001,SK하이닉스,유럽,고온,중소형,1SYS,HT-M-1S,8.0,표준납기,72,2025-03-12,2025-05-23,F1-A,확정,Low
PJT-2025-003,삼성전자,유럽,고온,대형,1SYS,HT-L-1S,16.8,표준납기,80,2025-03-13,2025-06-01,F2,확정,Medium
PJT-2025-015,마이크론,국내,고온,중소형,PRM_Ch,HT-M-PC,13.44,단납기,48,2025-03-17,2025-05-04,F1-B,확정,Low
PJT-2025-018,SK하이닉스,아시아,RC,중소형,1SYS,RC-M-1S,11.4,단납기,53,2025-03-20,2025-05-12,F1-A,확정,High
PJT-2025-023,SK하이닉스,국내,저온,대형,1SYS,LT-L-1S,12.6,표준납기,80,2025-03-26,2025-06-14,F1-A,예정,High
PJT-2025-004,마이크론,국내,저온,중소형,PRM_Ch,LT-M-PC,10.64,표준납기,75,2025-03-28,2025-06-11,F1-A,확정,Low
PJT-2025-025,마이크론,아시아,저온,대형,1SYS,LT-L-1S,12.6,표준납기,80,2025-04-01,2025-06-20,F1-B,확정,High
PJT-2025-012,SK하이닉스,미주,고온,대형,1SYS,HT-L-1S,16.8,표준납기,80,2025-04-03,2025-06-22,F1-A,확정,High
PJT-2025-021,TSMC,미주,고온,대형,1SYS,HT-L-1S,16.8,표준납기,80,2025-04-06,2025-06-25,F1-B,확정,High
PJT-2025-029,SK하이닉스,미주,고온,대형,PRM_Ch,HT-L-PC,24.0,표준납기,85,2025-04-13,2025-07-07,OUTSOURCE,예정,Medium
PJT-2025-007,LG디스플레이,국내,RC,대형,PRM_Ch,RC-L-PC,31.5,단납기,56,2025-04-27,2025-06-22,F2,확정,High
PJT-2025-005,마이크론,국내,저온,중소형,1SYS,LT-M-1S,6.16,표준납기,70,2025-04-28,2025-07-07,F1-B,확정,Low
PJT-2025-017,TSMC,미주,저온,중소형,PRM_Ch,LT-M-PC,10.64,표준납기,75,2025-05-16,2025-07-30,OUTSOURCE,확정,High
PJT-2025-032,TSMC,국내,저온,대형,1SYS,LT-L-1S,12.6,표준납기,80,2025-05-16,2025-08-04,F1-A,확정,High
PJT-2025-019,SK하이닉스,유럽,고온,중소형,PRM_Ch,HT-M-PC,13.44,단납기,58,2025-05-17,2025-07-14,F2,확정,Medium
PJT-2025-022,SK하이닉스,국내,저온,대형,1SYS,LT-L-1S,12.6,표준납기,80,2025-05-22,2025-08-10,F1-A,확정,High
PJT-2025-034,LG디스플레이,국내,저온,대형,1SYS,LT-L-1S,12.6,표준납기,80,2025-05-25,2025-08-13,F1-B,확정,High
PJT-2025-024,키옥시아,미주,고온,중소형,1SYS,HT-M-1S,8.0,단납기,52,2025-05-28,2025-07-19,F1-B,예정,High
PJT-2025-009,SK하이닉스,유럽,고온,대형,1SYS,HT-L-1S,16.8,표준납기,80,2025-06-13,2025-09-01,F2,확정,High
PJT-2025-011,LG디스플레이,국내,고온,중소형,1SYS,HT-M-1S,8.0,표준납기,72,2025-06-14,2025-08-25,F1-B,확정,Low
PJT-2025-035,LG디스플레이,아시아,저온,중소형,1SYS,LT-M-1S,6.16,표준납기,70,2025-06-15,2025-08-24,F1-A,확정,High
PJT-2025-030,키옥시아,유럽,RC,중소형,1SYS,RC-M-1S,11.4,단납기,45,2025-06-28,2025-08-12,OUTSOURCE,예정,High
